frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
9,2,[100 216 865 618],[476.34014892578125 494.3136901855469 675.12646484375 558.228759765625],0.6982429027557373,None,None
9,1,[18 74 256 248],[74.26372528076172 183.762939453125 139.4743194580078 211.3941192626953],0.5442715883255005,None,None
10,2,[103 218 853 614],[470.1360778808594 490.7179260253906 662.342529296875 554.5],0.7242960929870605,None,None
10,1,[10 70 256 250],[65.28279876708984 184.63250732421875 132.92173767089844 212.69989013671875],0.33770012855529785,None,None
11,2,[100 213 848 609],[457.2497863769531 481.7202453613281 652.3187866210938 545.6985473632812],0.7283287644386292,None,None
11,1,[0 68 256 255],[50.027896881103516 184.7675323486328 123.29713439941406 214.63201904296875],0.4872182309627533,None,None
12,2,[101 212 843 606],[440.8719482421875 479.4287109375 635.603515625 544.4083251953125],0.686545729637146,None,None
12,1,[0 63 255 258],[34.61542892456055 186.77574157714844 107.98894500732422 218.7216796875],0.3778747618198395,None,None
13,2,[93 209 833 603],[427.01556396484375 476.2886047363281 620.1729736328125 540.51220703125],0.7221934795379639,None,None
13,1,[0 60 253 262],[17.980884552001953 188.62742614746094 95.2349853515625 222.41030883789062],0.5411455035209656,None,None
14,2,[89 209 823 600],[417.5731201171875 475.7384033203125 608.923095703125 536.7728881835938],0.7194557785987854,None,None
14,1,[0 59 253 270],[2.4875471591949463 195.2056884765625 78.01200866699219 226.00881958007812],0.3969751000404358,None,None
15,2,[84 209 813 598],[398.4425048828125 470.3460998535156 596.3529663085938 535.5443115234375],0.7314584255218506,None,None
15,1,[0 57 251 277],[0.8082156181335449 196.75840759277344 58.23784637451172 226.88572692871094],0.40752583742141724,None,None
16,2,[64 190 825 601],[389.5384521484375 469.2878723144531 582.192626953125 533.1746826171875],0.7289088368415833,None,None
16,1,[0 55 245 277],[0.0 202.5485076904297 43.14149856567383 233.0518341064453],0.3137415945529938,None,None
17,2,[70 198 808 599],[374.48040771484375 468.02203369140625 572.2716674804688 532.5722045898438],0.718792200088501,None,None
17,1,[0 54 235 274],[0.2977655827999115 208.0733642578125 25.642839431762695 238.59762573242188],0.46988990902900696,None,None
18,2,[74 204 803 602],[365.3373718261719 468.85784912109375 559.3765869140625 533.068603515625],0.7302897572517395,None,None
19,2,[27 157 833 607],[358.7087097167969 472.3969421386719 551.449462890625 535.50830078125],0.7239578366279602,None,None
20,2,[57 188 801 607],[349.8492736816406 472.35797119140625 545.243896484375 535.0859985351562],0.7296275496482849,None,None
21,2,[69 208 776 608],[341.8694152832031 473.68212890625 535.7509155273438 535.9175415039062],0.7341346740722656,None,None
22,2,[68 218 760 610],[335.7542419433594 474.0989074707031 528.156494140625 538.9541625976562],0.7196022272109985,None,None
23,2,[63 217 758 612],[330.9443054199219 477.8157043457031 522.7274169921875 539.6124267578125],0.7175413370132446,None,None
24,2,[53 215 755 616],[320.8973083496094 477.5152893066406 513.5628051757812 540.2103881835938],0.7122300267219543,None,None
25,2,[44 215 747 618],[313.08099365234375 477.1941833496094 506.734619140625 541.0528564453125],0.7180836796760559,None,None
26,2,[44 217 740 617],[254.32577514648438 248.055908203125 444.46319580078125 327.8017272949219],0.2822931408882141,None,None
27,2,[33 213 735 618],[300.0537414550781 471.4173889160156 493.6236267089844 536.3219604492188],0.7461218237876892,None,None
28,2,[35 214 731 615],[291.41741943359375 468.89404296875 489.13336181640625 533.952880859375],0.7128573656082153,None,None
29,2,[37 216 723 611],[285.416015625 466.942626953125 481.7593994140625 530.982177734375],0.7088522911071777,None,None
30,2,[36 216 714 607],[282.7564392089844 463.3174133300781 475.68463134765625 526.1992797851562],0.7170766592025757,None,None
31,2,[34 216 706 603],[279.65740966796875 461.7070617675781 468.9543762207031 524.9729614257812],0.7122714519500732,None,None
32,2,[36 217 699 599],[278.8398742675781 458.54217529296875 466.85711669921875 522.2477416992188],0.7070554494857788,None,None
33,2,[39 217 693 595],[283.1335754394531 456.6755676269531 465.61431884765625 517.1713256835938],0.727262556552887,None,None
34,2,[48 220 687 591],[282.6859436035156 455.24365234375 464.8735656738281 517.6170654296875],0.6807037591934204,None,None
35,2,[52 224 681 588],[287.818359375 454.35699462890625 465.3560485839844 512.9324340820312],0.6874980926513672,None,None
36,2,[67 232 677 585],[293.56671142578125 452.253662109375 468.3301696777344 510.8909606933594],0.7011718153953552,None,None
37,2,[79 237 673 581],[299.3837890625 450.7174377441406 469.3360900878906 506.3165283203125],0.717248260974884,None,None
38,2,[91 238 673 576],[304.7096252441406 448.8434753417969 471.0340270996094 503.450927734375],0.7224865555763245,None,None
39,2,[102 241 671 572],[309.9248046875 445.6748962402344 472.177734375 501.50408935546875],0.7058051824569702,None,None
40,2,[113 243 670 567],[312.42523193359375 440.7207946777344 475.19366455078125 498.5008544921875],0.7033900022506714,None,None
41,2,[122 240 671 560],[319.9944152832031 436.4893493652344 477.0030822753906 492.7588806152344],0.742548406124115,None,None
42,2,[132 239 669 553],[325.70892333984375 434.9819030761719 477.3551330566406 484.6268005371094],0.6820349097251892,None,None
43,2,[142 239 668 546],[330.1273193359375 428.8115234375 478.8417663574219 479.58563232421875],0.6697891354560852,None,None
44,2,[150 236 667 538],[335.7061462402344 422.7532958984375 483.63824462890625 472.71307373046875],0.6944540143013,None,None
45,2,[158 230 667 528],[339.6032409667969 409.2467041015625 485.523681640625 461.59295654296875],0.7161538600921631,None,None
46,2,[167 223 667 516],[343.29144287109375 400.0485534667969 485.9482116699219 449.1131896972656],0.6940163373947144,None,None
47,2,[175 218 665 505],[349.501953125 392.599609375 489.29241943359375 441.5708923339844],0.7003781795501709,None,None
48,2,[181 214 662 495],[349.49713134765625 383.5028381347656 488.38104248046875 434.8382263183594],0.711787223815918,None,None
49,2,[183 209 654 485],[346.96783447265625 376.05206298828125 482.1324157714844 423.9557189941406],0.6986183524131775,None,None
50,2,[183 203 643 472],[343.3126220703125 363.0551452636719 473.731689453125 410.7893981933594],0.7181565761566162,None,None
51,2,[187 195 633 456],[343.1114501953125 347.69818115234375 472.1387023925781 395.4505310058594],0.7031732201576233,None,None
52,2,[191 183 628 438],[342.8759765625 328.9936218261719 471.220458984375 379.4295959472656],0.7103928923606873,None,None
53,2,[197 172 626 422],[347.43658447265625 317.83245849609375 471.63409423828125 364.92291259765625],0.7232286334037781,None,None
54,2,[200 162 626 410],[350.38751220703125 309.91070556640625 470.737060546875 354.40203857421875],0.7180792689323425,None,None
55,2,[203 152 625 399],[351.1942443847656 300.7212829589844 471.1133728027344 347.1129150390625],0.7008983492851257,None,None
56,2,[205 147 621 390],[351.73809814453125 295.29803466796875 468.320556640625 338.37213134765625],0.6863767504692078,None,None
57,2,[208 145 613 381],[348.11639404296875 289.8390197753906 463.7848815917969 332.7533264160156],0.6641334891319275,None,None
59,13,[69 181 935 673],[611.14404296875 472.6066589355469 793.5822143554688 550.8565063476562],0.7303590774536133,None,None
60,13,[44 156 954 674],[594.5352783203125 470.3130187988281 779.7906494140625 557.7156982421875],0.7563949823379517,None,None
61,13,[72 194 915 674],[573.7916259765625 478.5390625 760.0018310546875 559.2981567382812],0.7413361668586731,None,None
